region	sector	indout
AT	Financial intermediation, except insurance and pension funding (65)	21785.9250251
AT	Insurance and pension funding, except compulsory social security (66)	8200.2443146
AT	Activities auxiliary to financial intermediation (67)	4841.80523671
AT	Real estate activities (70)	47844.7984772
AT	Renting of machinery and equipment without operator and of personal and household goods (71)	9291.95874735
AT	Computer and related activities (72)	13260.641677
AT	Research and development (73)	2942.19210529
AT	Other business activities (74)	50375.7228007
AT	Public administration and defence; compulsory social security (75)	31101.2370475
AT	Education (80)	23513.5952902
AT	Health and social work (85)	33327.1449753
AT	Incineration of waste: Food	310.035502712
AT	Incineration of waste: Paper	410.022655206
AT	Incineration of waste: Plastic	726.831233182
AT	Incineration of waste: Metals and Inert materials	2178.59015646
AT	Incineration of waste: Textiles	61.2740130069
AT	Incineration of waste: Wood	140.677943071
AT	Incineration of waste: Oil/Hazardous waste	451.264874759
AT	Biogasification of food waste, incl. land application	50.6251184401
AT	Biogasification of paper, incl. land application	5.95790195668
AT	Biogasification of sewage slugde, incl. land application	35.9646000002
AT	Composting of food waste, incl. land application	1796.91464127
AT	Composting of paper and wood, incl. land application	0.408697809584
AT	Waste water treatment, food	157.219966511
AT	Waste water treatment, other	300.433922144
AT	Landfill of waste: Food	40.5666851437
AT	Landfill of waste: Paper	65.0185575032
AT	Landfill of waste: Plastic	13.6015986858
AT	Landfill of waste: Inert/metal/hazardous	149.771377087
AT	Landfill of waste: Textiles	7.18731716616
AT	Landfill of waste: Wood	29.2062920415
AT	Activities of membership organisation n.e.c. (91)	9595.82466775
AT	Recreational, cultural and sporting activities (92)	11906.8128209
AT	Other service activities (93)	4340.88478457
AT	Private households with employed persons (95)	115.404317544
AT	Extra-territorial organizations and bodies	0
BE	Cultivation of paddy rice	0
BE	Cultivation of wheat	429.379047325
BE	Cultivation of cereal grains nec	313.477452762
BE	Cultivation of vegetables, fruit, nuts	2443.28648901
BE	Cultivation of oil seeds	25.9880996072
BE	Cultivation of sugar cane, sugar beet	268.457961867
BE	Cultivation of plant-based fibers	12.1092161002
BE	Cultivation of crops nec	1482.27500828
BE	Cattle farming	1008.84252395
BE	Pigs farming	1469.40705012
BE	Poultry farming	1317.80465196
BE	Meat animals nec	330.766425755
BE	Animal products nec	28.2946160146
BE	Raw milk	1249.94082309
BE	Wool, silk-worm cocoons	0.188891140508
BE	Manure treatment (conventional), storage and land application	0
BE	Manure treatment (biogas), storage and land application	0
BE	Forestry, logging and related service activities (02)	388.64700118
BE	Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)	333.611345692
BE	Mining of coal and lignite; extraction of peat (10)	22.9084050023
BE	Extraction of crude petroleum and services related to crude oil extraction, excluding surveying	0
BE	Extraction of natural gas and services related to natural gas extraction, excluding surveying	0
BE	Extraction, liquefaction, and regasification of other petroleum and gaseous materials	7.59658466127e-06
BE	Mining of uranium and thorium ores (12)	0.00201336901895
BE	Mining of iron ores	0
BE	Mining of copper ores and concentrates	0
BE	Mining of nickel ores and concentrates	0.00201336901895
BE	Mining of aluminium ores and concentrates	0.00201336901895
BE	Mining of precious metal ores and concentrates	0.00201336901895
BE	Mining of lead, zinc and tin ores and concentrates	0.00201336901895
BE	Mining of other non-ferrous metal ores and concentrates	684.722626345
BE	Quarrying of stone	753.707842944
BE	Quarrying of sand and clay	259.321133983
BE	Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.	386.433066177
BE	Processing of meat cattle	707.61999287
BE	Processing of meat pigs	1637.06758774
BE	Processing of meat poultry	1186.43327858
BE	Production of meat products nec	2505.08983167
BE	Processing vegetable oils and fats	655.020170656
BE	Processing of dairy products	10524.4190324
BE	Processed rice	195.156657231
BE	Sugar refining	1414.57874449
BE	Processing of Food products nec	16578.8680488
BE	Manufacture of beverages	2528.7108176
BE	Manufacture of fish products	756.518675967
BE	Manufacture of tobacco products (16)	649.004827106
BE	Manufacture of textiles (17)	8424.5019087
BE	Manufacture of wearing apparel; dressing and dyeing of fur (18)	2289.00779057
BE	Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)	399.931607976
BE	Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)	4258.66715791
BE	Re-processing of secondary wood material into new wood material	1063.89141976
BE	Pulp	607.519983918
BE	Re-processing of secondary paper into new pulp	1650.15535015
BE	Paper	2493.21312177
BE	Publishing, printing and reproduction of recorded media (22)	9878.40644196
BE	Manufacture of coke oven products	103.378523538
BE	Petroleum Refinery	25970.1180187
BE	Processing of nuclear fuel	73.1287168223
BE	Plastics, basic	23672.333449
BE	Re-processing of secondary plastic into new plastic	326.005835961
BE	N-fertiliser	31.1751329981
BE	P- and other fertiliser	169.27540639
BE	Chemicals nec	4197.01263356
BE	Manufacture of rubber and plastic products (25)	9425.67054373
BE	Manufacture of glass and glass products	1087.09733765
BE	Re-processing of secondary glass into new glass	278.965091854
BE	Manufacture of ceramic goods	334.978970644
BE	Manufacture of bricks, tiles and construction products, in baked clay	780.337724889
BE	Manufacture of cement, lime and plaster	3440.75052786
BE	Re-processing of ash into clinker	1572.17836268
BE	Manufacture of other non-metallic mineral products n.e.c.	1625.71222438
BE	Manufacture of basic iron and steel and of ferro-alloys and first products thereof	4961.7499343
BE	Re-processing of secondary steel into new steel	3316.74404533
BE	Precious metals production	6037.4595536
BE	Re-processing of secondary preciuos metals into new preciuos metals	0.00736939932165
BE	Aluminium production	3757.94267062
BE	Re-processing of secondary aluminium into new aluminium	54.8269252528
BE	Lead, zinc and tin production	397.893909771
BE	Re-processing of secondary lead into new lead, zinc and tin	154.67270145
BE	Copper production	4989.40517341
BE	Re-processing of secondary copper into new copper	6190.90403471
BE	Other non-ferrous metal production	973.227921354
BE	Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0.00736939932165
BE	Casting of metals	548.455117295
BE	Manufacture of fabricated metal products, except machinery and equipment (28)	18233.2345246
BE	Manufacture of machinery and equipment n.e.c. (29)	18026.8573169
BE	Manufacture of office machinery and computers (30)	1012.7341281
BE	Manufacture of electrical machinery and apparatus n.e.c. (31)	7886.13127183
BE	Manufacture of radio, television and communication equipment and apparatus (32)	3242.2740349
BE	Manufacture of medical, precision and optical instruments, watches and clocks (33)	2778.16545856
BE	Manufacture of motor vehicles, trailers and semi-trailers (34)	30220.2653192
BE	Manufacture of other transport equipment (35)	3368.28752962
BE	Manufacture of furniture; manufacturing n.e.c. (36)	5595.88950272
BE	Recycling of waste and scrap	0.00736939932165
BE	Recycling of bottles by direct reuse	748.479084633
BE	Production of electricity by coal	400.186507155
BE	Production of electricity by gas	2120.59959222
BE	Production of electricity by nuclear	4869.29348334
BE	Production of electricity by hydro	14.5704603652
BE	Production of electricity by wind	86.140844148
BE	Production of electricity by petroleum and other oil derivatives	54.8307292018
BE	Production of electricity by biomass and waste	332.630454713
BE	Production of electricity by solar photovoltaic	1.72242924821
BE	Production of electricity by solar thermal	0
BE	Production of electricity by tide, wave, ocean	0
BE	Production of electricity by Geothermal	0
BE	Production of electricity nec	177.056759661
BE	Transmission of electricity	1766.22799133
BE	Distribution and trade of electricity	8767.30407625
BE	Manufacture of gas; distribution of gaseous fuels through mains	2800.47837452
BE	Steam and hot water supply	0
BE	Collection, purification and distribution of water (41)	2695.64389551
BE	Construction (45)	89435.2919093
BE	Re-processing of secondary construction material into aggregates	262.138039543
BE	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	8459.71208047
BE	Retail sale of automotive fuel	428.038266645
BE	Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)	74276.3231368
BE	Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)	511.275019354
BE	Hotels and restaurants (55)	19739.8269256
BE	Transport via railways	8168.80148555
BE	Other land transport	21686.3194869
BE	Transport via pipelines	754.316354261
BE	Sea and coastal water transport	8049.69329257
BE	Inland water transport	997.295706726
BE	Air transport (62)	5921.69982464
BE	Supporting and auxiliary transport activities; activities of travel agencies (63)	45506.9870229
BE	Post and telecommunications (64)	24862.7856476
BE	Financial intermediation, except insurance and pension funding (65)	19248.251314
BE	Insurance and pension funding, except compulsory social security (66)	13465.4708966
BE	Activities auxiliary to financial intermediation (67)	20947.2534609
BE	Real estate activities (70)	60375.7653363
BE	Renting of machinery and equipment without operator and of personal and household goods (71)	10398.1951165
BE	Computer and related activities (72)	18706.8001139
BE	Research and development (73)	6318.50488221
BE	Other business activities (74)	113822.798596
BE	Public administration and defence; compulsory social security (75)	40809.1762858
BE	Education (80)	31356.8743237
BE	Health and social work (85)	53681.3397828
BE	Incineration of waste: Food	579.327067832
BE	Incineration of waste: Paper	614.499645936
BE	Incineration of waste: Plastic	534.493443278
BE	Incineration of waste: Metals and Inert materials	1811.9787391
BE	Incineration of waste: Textiles	133.520181807
BE	Incineration of waste: Wood	220.998853172
BE	Incineration of waste: Oil/Hazardous waste	955.479526909
BE	Biogasification of food waste, incl. land application	96.4240484046
BE	Biogasification of paper, incl. land application	13.4610507645
BE	Biogasification of sewage slugde, incl. land application	320.432674309
BE	Composting of food waste, incl. land application	767.542144057
BE	Composting of paper and wood, incl. land application	0.00736939932165
BE	Waste water treatment, food	108.523322376
BE	Waste water treatment, other	234.295515286
BE	Landfill of waste: Food	108.027916493
BE	Landfill of waste: Paper	97.32974137
BE	Landfill of waste: Plastic	129.594096318
BE	Landfill of waste: Inert/metal/hazardous	212.889281877
BE	Landfill of waste: Textiles	11.8402830816
BE	Landfill of waste: Wood	14.2002067293
BE	Activities of membership organisation n.e.c. (91)	5254.76806797
BE	Recreational, cultural and sporting activities (92)	15331.5720129
BE	Other service activities (93)	4099.04118219
BE	Private households with employed persons (95)	797.167068224
BE	Extra-territorial organizations and bodies	0
BG	Cultivation of paddy rice	31.664466325
BG	Cultivation of wheat	1052.43276846
BG	Cultivation of cereal grains nec	254.07442678
BG	Cultivation of vegetables, fruit, nuts	866.74335776
BG	Cultivation of oil seeds	431.550593525
BG	Cultivation of sugar cane, sugar beet	2.74969301148
BG	Cultivation of plant-based fibers	1.24126776118
BG	Cultivation of crops nec	364.096252884
BG	Cattle farming	48.3836009625
BG	Pigs farming	235.388635134
BG	Poultry farming	604.389021866
BG	Meat animals nec	365.364280585
BG	Animal products nec	29.2306641526
BG	Raw milk	668.669633705
BG	Wool, silk-worm cocoons	2.26711009707
BG	Manure treatment (conventional), storage and land application	0
BG	Manure treatment (biogas), storage and land application	0
BG	Forestry, logging and related service activities (02)	321.261416641
BG	Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)	39.1910023772
BG	Mining of coal and lignite; extraction of peat (10)	637.605191948
BG	Extraction of crude petroleum and services related to crude oil extraction, excluding surveying	85.1800572956
BG	Extraction of natural gas and services related to natural gas extraction, excluding surveying	28.640350111
BG	Extraction, liquefaction, and regasification of other petroleum and gaseous materials	12.3059846648
BG	Mining of uranium and thorium ores (12)	0
BG	Mining of iron ores	0
BG	Mining of copper ores and concentrates	865.830994537
BG	Mining of nickel ores and concentrates	0
BG	Mining of aluminium ores and concentrates	0
BG	Mining of precious metal ores and concentrates	291.899106235
BG	Mining of lead, zinc and tin ores and concentrates	37.6570167528
BG	Mining of other non-ferrous metal ores and concentrates	13.6916878451
BG	Quarrying of stone	35.7891594091
BG	Quarrying of sand and clay	277.128039189
BG	Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.	47.8116631176
BG	Processing of meat cattle	65.6840978209
BG	Processing of meat pigs	389.555597276
BG	Processing of meat poultry	684.417215058
BG	Production of meat products nec	710.458621855
